"Device","Channel","Code","Message","Detail","Retries","Timestamp"
"00259E-HG8546M-48575443F2D53A8B","task_696693ed8d56b2bcbf1c2f2a","script.Error","Invalid parameter path","name: Error
message: Invalid parameter path
stack: |-
  Error: Invalid parameter path
      at instances
",0,"2026-01-13T18:50:21.731Z"
"00259E-HG8546M-48575443F2D53A8B","task_696693edc4afbb7f878dd6ba","cwmp.9002","Internal error","faultCode: ""9002""
faultString: Internal error
setParameterValuesFault: null
",0,"2026-01-13T18:50:21.731Z"
"00259E-HG8546M-48575443F2D53A8B","task_696693edc939ffa588b6ec87","script.Error","Invalid parameter path","name: Error
message: Invalid parameter path
stack: |-
  Error: Invalid parameter path
      at instances
",0,"2026-01-13T18:50:21.731Z"
