"Device","Channel","Code","Message","Detail","Retries","Timestamp"
"00259E-HG8546M-48575443F2D53A8B","task_69695a7a6ef6e2c2592e8d53","script.Error","Invalid parameter path","name: Error
message: Invalid parameter path
stack: |-
  Error: Invalid parameter path
      at refresh
",0,"2026-01-15T21:22:03.068Z"
"00259E-HG8546M-48575443F2D53A8B","task_69695a7ada5d468f06bc66c2","script.Error","Invalid parameter path","name: Error
message: Invalid parameter path
stack: |-
  Error: Invalid parameter path
      at refresh
",0,"2026-01-15T21:22:03.068Z"
